Soort;Code;Naam;Omschrijving;Begindatum;Einddatum;Parent;Informatiedomein
EENHEIDCRITERIUMDETAILSOORT;SOC;Sociaal;De woonsituatie is levensontwrichtend of levensbedreigend voor een of meer gezinsleden.;21-04-2023;;EENHEIDCRITERIUMSOORT.URG;Woonruimteverdeling
EENHEIDCRITERIUMDETAILSOORT;STA;Statushouder;Urgentie wegens het verkrijgen van een verblijfsstatus;21-04-2023;;EENHEIDCRITERIUMSOORT.URG;Woonruimteverdeling
EENHEIDCRITERIUMDETAILSOORT;UIT;Uitstroom maatschappelijke instelling;Urgentie wegens het uitstromen bij een maatschappelijke instelling;21-04-2023;;EENHEIDCRITERIUMSOORT.URG;Woonruimteverdeling
EENHEIDCRITERIUMSOORT;BIN;Binding;Er is voorrang voor woningzoekenden met binding tot een bepaald gebied. Bijvoorbeeld regionaal voor mensen die in het regionaal samenwerkingsverband wonen en/of werken, lokaal voor mensen die in de gemeente wonen.;21-04-2023;;;Woonruimteverdeling
EENHEIDCRITERIUMSOORT;GRO;Groep;Er is voorrang voor woningzoekenden die tot een bepaalde groep behoren waar geen binding, urgentie of indicatie van toepassing is.;21-04-2023;;;Woonruimteverdeling
EENHEIDCRITERIUMSOORT;IND;Indicatie;Er is voorrang voor woningzoekenden met een (medische) indicatie.21-04-2023;;;;Woonruimteverdeling
EENHEIDCRITERIUMSOORT;URG;Urgentie;Er is voorrang voor woningzoekenden met een urgentie.21-04-2023;;;;Woonruimteverdeling
EENHEIDCRITERIUMTOEPASSING;SEL;Selectie;Selectiecriteria die worden gebruikt om de passendheid van een woningzoekende voor de eenheid te bepalen.;03-02-2023;;;Vastgoed
EENHEIDCRITERIUMTOEPASSING;SOR;Sortering;Sorteercriteria die worden gebruikt om de positie van een woningzoekende voor de eenheid te bepalen.;03-02-2023;;;Vastgoed
EENHEIDDETAILSOORT;ANT;Antenne-opstelplaats;;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;ATE;Atelierruimte;Een atelier is een werkplaats, in het bijzonder die van een beeldend kunstenaar.;;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;BAS;Basisschool;Basisschool conform: art. 49 lid 2a;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;BEN;Benedenwoning;Een benedenwoning is een etagewoning of flatwoning op de begane grond met een voordeur die op straat uitkomt. De benedenwoning bestaat uit één of meerdere bouwlagen. (Voor marktwaarde bepaling: MGW-meergezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;BER;Berging;Een berging is een bergruimte of bijgebouw met een algemene bergfunctie op een apart perceel of met een eigen adres, vaak in een aaneengesloten rij met andere berghokken of bijgebouwen.;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;BIB;Bibliotheek;Dorps- of wijkbibliotheek;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;BIJ;Bijeenkomstruimte;VERVALLEN;;9-6-2023;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;BIJ;Bijeenkomstruimte;Ruimte voor het samenkomen van personen voor kunst, cultuur, godsdienst, communicatie, het verstrekken van consumpties voor het gebruik ter plaatse of het aanschouwen van sport (bewerking van defintie Bouwbesluit). Let op: Voor kinderopvang kan de eenheiddetailsoort Kinderopvanglocatie worden gebruikt.;9-6-2023;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;BOU;Bouwkavel;Een aaneengesloten terreinoppervlak, waarop krachtens het bestemmingsplan een zelfstandige, bij elkaar behorende bebouwing is toegestaan.;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;BOV;Bovenwoning;Een bovenwoning is een etagewoning of flatwoning op een etage die bereikbaar is via een binnentrap met een mogelijk gemeenschappelijke voordeur die op straat uitkomt of een eigen voordeur heeft die niet in een portiek uitkomt. De bovenwoning bestaat uit één of meerdere bouwlagen. De flat-bovenwoning (ook wel: repeterende bovenwoning) is geen galerijflat. (Voor marktwaarde bepaling: MGW-meergezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;BRE;Brede school;Brede school met bijv. peuterzaal, kinderopvang, voor-, tussen- en naschoolse opvang, buurtsporthal, en -complex (zogeheten multifunctionele accommodaties);;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;BUU;Buurthuis;Openbaar gebouw in een woonkern dat dienst doet als centrum voor maatschappelijk werk in en voor de buurt;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;CJG;Centrum voor Jeugd en Gezin;Centrum voor jeugd en gezin conform: art. 49 lid 2a;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;COR;Corridorflat;Een corridorflat is een flatwoning waarbij de voordeur uitkomt op een centraal binnen de bouwmassa per etage gelegen loopgang dan wel op een centrale hal op de etage. (Voor marktwaarde bepaling: MGW-meergezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;CUL;Cultuur ruimte;Ruimten voor kleinschalige culturele activiteiten;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;DAG;Dagbestedingsruimte;Ruimte voor dagbesteding van gehandicapten of ouderen, incl. enige zorginfrastructuur, die inpandig in een woonzorggebouw zijn gelegen;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;EIN;Eindwoning;Een eindwoning is een eengezinswoning die grenst aan een aanliggende woning. De eindwoning ligt op het begin of einde van de reeks woningen en heeft geen (extra) bij de woning behorende grond aan de zijkant van de woning. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;EPK;Erfpachtkavel;Kavels die gepacht zijn danwel verpacht worden;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;FIE;Fietsparkeerplaats/stalling;;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;GAL;Galerijflat;Een galerijflat is een flatwoning waarbij de voordeur uitkomt op een aan de buitenkant gelegen loopgang. Een galerijflat heeft meerdere bouwlagen met woningen boven elkaar. (Voor marktwaarde bepaling: MGW-meergezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;GAR;Garage;Een garage is een overdekte stallingruimte bestemd en geschikt voor motorvoertuigen op meer dan twee wielen.;;;EENHEIDSOORT.PAR;Vastgoed
EENHEIDDETAILSOORT;GEM;Gemeenschapscentrum;Culturele infrastructuur door de gemeente beheerd met het oog op cultuurparticipatie, gemeenschapsvorming en cultuurspreiding ten behoeve van de lokale bevolking en met bijzondere aandacht voor de culturele diversiteit.;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;GTW;Geschakelde Twee-onder-een-kapwoning;Een geschakelde 2-onder-1-kapwoning is een 2-onder-1-kapwoning waarbij de muren van aanbouwen gedeeltelijk aan (aanbouwen van) andere woningen grenzen. Ook wanneer de woningen elk een afzonderlijke dakconstructie hebben, vallen deze onder de definitie van de geschakelde 2-onder-1-kapwoning. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;GWO;Geschakelde woning;Een geschakelde woning is een eengezinswoning waarbij de muren of muren van aanbouwen gedeeltelijk aan (aanbouwen van) andere woningen grenzen. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;HAL;Half vrijstaande woning;Een halfvrijstaande woning is een eengezinswoning waarvan het hoofdgebouw verbonden is met het hoofdgebouw van één ander object dat geen woning is: óf waarvan het hoofdgebouw verbonden is met het hoofdgebouw van één andere niet gelijksoortige en -vormige woning (niet zijnde tussenwoning en niet zijnde een 2-onder-1-kapwoning). (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;HER;Herenhuis;Een herenhuis is een relatief grote eengezinswoning gesitueerd binnen de bebouwde kom, met een nadrukkelijke architectonische uitstraling in het straatbeeld via een opvallende (gevel)presentatie. Oorspronkelijk betrof het een statig, hoog en tamelijk oud pand, maar tegenwoordig wordt hiermee ook de duurdere, kwalitatief beter uitgevoerde nieuwbouwwoning aangeduid.;20-10-2023;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;HOE;Hoekwoning;Een hoekwoning is een eengezinswoning die grenst aan een aanliggende woning. De hoekwoning ligt op het begin of einde van de reeks woningen en heeft (extra) bij de woning behorende grond aan de zijkant van de woning. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;HOR;Horeca;;;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;HOS;Hospice;Woongelegenheid voor personen die niet meer kunnen genezen.;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;JON;Jongerencentrum;Jongerencentrum, mits zonder horecavoorziening;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;KAM;Kamer;Onzelfstandige woonruimte. Een kamer heeft geen eigen toegang of deelt de keuken of toilet met de bewoners van andere woningen/kamers.;;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;KAN;Kantoorruimte;Kantoorruimte, vallend onder Bedrijfsmatig vastgoed. Let op: gebruik voor kantoorruimte van een toegelaten instelling eenheiddetailssoort KTI.;;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;KNG;Kangoeroewoning;Een kangoeroewoning is een type huisvesting dat is ontworpen om twee of meer generaties van een familie samen te laten wonen, maar wel met behoud van privacy en onafhankelijkheid. In een kangoeroewoning heeft elke generatie of familie een aparte woonruimte binnen hetzelfde huis, maar ze delen wel bepaalde gemeenschappelijke ruimtes zoals de keuken, eetkamer, tuin, en soms zelfs een woonkamer.;;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;KIN;Kinderopvanglocatie;Hieronder vallen kinderdagverblijven, peuterspeelzalen, buitenschoolse of 24-uursopvang (Bouwbesluit 2012);25-11-2022;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;KTI;Kantoorruimte van toegelaten instelling;Kantoorruimte van toegelaten instelling, als zodanig vallend onder Maatschappelijk vastgoed (MOG).;27-10-2023;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;LGI;Lichamelijk beperkten instelling;Instelling voor mensen met een lichamelijke beperking.;;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;LIG;Ligplaats;Een ligplaats is een formeel door de gemeente als zodanig aangewezen plaats in het water, al dan niet aangevuld met een op de oever aanwezig terrein of een gedeelte daarvan, dat bestemd is voor het permanent afmeren van een voor woon, bedrijfsmatige of recreatieve doeleinden geschikt vaartuig.;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;LVG;Lichamelijk en geestelijk beperkten instelling;Instelling voor mensen met een lichamelijke en/of verstandelijke beperking.;22-9-2023;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;MAA;Maatschappelijk werkruimte wijk-/buurtgericht;Ruimte voor op de buurt of wijk gericht maatschappelijk werk door stichtingen of verenigingen;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;MAI;Maisonette;Een maisonnette is een specifiek type flatwoning waarbij de woning zelf twee of meer bouwlagen heeft. De voordeur komt uit op een gemeenschappelijke loopgang, op een gemeenschappelijk afsluitbaar trappenhuis, een centrale hal of gesloten portiek. (Voor marktwaarde bepaling: MGW-meergezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;MUL;Multifunctionele centrum;Multifunctionele centrum voor maatschappelijke dienstverlening;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;MWR;Maatschappelijk werkruimte niet-wijk- of buurtgericht;Ruimten voor niet op de buurt of wijk gericht maatschappelijk werk door stichtingen of verenigingen;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;OPV;Opvangcentrum;Opvangcentrum (blijf-van-mijn-lijfhuizen, dag- en nachtopvang voor dak- en thuislozen en verslaafden);;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;PAM;Parkeerplaats motor;Een parkeerplaats die dienstbaar is aan wonen, waarbij de parkeerplaats een zelfstandig object is. Een parkeerplaats in een publieke parkeergarage (abonnement e.d.) valt niet onder de definitie.;;;EENHEIDSOORT.PAR;Vastgoed
EENHEIDDETAILSOORT;PAO;Parkeerplaats overdekt;;;;EENHEIDSOORT.PAR;Vastgoed
EENHEIDDETAILSOORT;PAR;Parkeerplaats auto;Een parkeerplaats die dienstbaar is aan wonen, waarbij de parkeerplaats een zelfstandig object is. Een parkeerplaats in een publieke parkeergarage (abonnement e.d.) valt niet onder de definitie.;;;EENHEIDSOORT.PAR;Vastgoed
EENHEIDDETAILSOORT;POF;Portiekflat;Een portiekflat is een flatwoning waarbij de voordeur uitkomt op een gemeenschappelijk afsluitbaar trappenhuis, een centrale hal of een gesloten portiek. (Voor marktwaarde bepaling: MGW-meergezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;POW;Portiekwoning;Een portiekwoning is een etagewoning waarbij de voordeur uitkomt in een open portiek. Een portiek is een toegangsportaal gelegen achter de voorgevel van een meergezinsgebouw en grenzend aan de openbare weg, van waaruit de afzonderlijke woningen direct worden ontsloten via een gemeenschappelijk te gebruiken trap en bordessen. (Voor marktwaarde bepaling: MGW-meergezinswoning );;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;PRA;Praktijkruimte;Een praktijkruimte of therapieruimte bestaat minimaal uit een wachtruimte (met toilet) en behandelkamer.;;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;PRW;Praktijkwoning;Een woning waarvan een deel bestemd en in gebruik is voor het uitoefenen van een beroep aan huis (tandarts, huisarts, fysio, atelier, e.d.).;20-10-2023;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;PZI;Psychische zorginstelling;Instelling voor psychische zorg;;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;REC;Recreatiewoning;Woning met een recreatiebestemming en niet bedoeld voor permanente bewoning.;;;EENHEIDSOORT.REC;Vastgoed
EENHEIDDETAILSOORT;REZ;Recreatiezaal;Ruimte bestemd voor ontmoeting, recreatie en informeel amusement, binnen een wooncomplex.;9-6-2023;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;SCH;Schoolgebouw;Vmbo-mbo-scholen, vwo-scholen, schoolgebouwen voor speciaal onderwijs.;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;SCO;Scootmobielplek;;;;EENHEIDSOORT.PAR;Vastgoed
EENHEIDDETAILSOORT;STP;Steunpunt;Steunpunten voor schuldsanering en budgetbeheeradvies voor huishoudens in financiële problemen;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;TIJ;Tijdelijke woning;Een tijdelijke woning is een woning met een tijdelijke instandhoudingstermijn (van meestal 10 jaar). Voorbeelden van tijdelijke woningen zijn containerwoningen, duplexwoningen.;;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;TIN;Tiny house;Een tiny house is een kleine volwaardige (vrijstaande) woningen van maximaal 50 m2 vloeroppervlak met een zo klein mogelijke ecologische voetafdruk. ze staan op een (tijdelijke) fundering of op wielen.;20-10-2023;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;TUS;Tussenwoning;Een tussenwoning is een eengezinswoning waarbij de tussenmuren aan andere panden grenzen en waarbij de woningen ten opzichte van elkaar in een gelijk vlak of lijn liggen. Ook de woning die de hoek vormt van een gesloten bouwblok (twee reeksen woningen zijn verbonden met elkaar) is een tussenwoning. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;TWE;Twee-onder-een-kapwoning;Een 2-onder-1-kapwoning is een eengezinswoning waarvan het hoofdgebouw is verbonden met het hoofdgebouw van één andere gelijksoortige en gelijkvormige woning (niet zijnde een tussenwoning). Ook wanneer de woningen elk een afzonderlijke dakconstructie hebben, vallen deze onder de definitie van de 2-onder-1-kapwoning. 2- onder-1-kapwoningen worden ook wel aangeduid als “helft van een dubbel”, welk begrip als synoniem gebruikt mag worden. (Voor marktwaarde bepaling: EGW-eengezinswoning).;;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;VEI;Veiligheidshuis;Een veiligheidshuis is een fysieke locatie waar verschillende instellingen in een regio of gemeente in Nederland samenwerken aan het terugdringen van overlast, huiselijk geweld en criminaliteit.;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;VGI;Verstandelijk gehandicapten instelling;Instelling voor mensen met een verstandelijke beperking.;;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;VOL;Volkstuin;Gehuurd stukje grond waarop je planten, groenten en fruit kunt laten groeien;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;VPL;Verpleeghuis;Een verpleeghuis is een instelling waar mensen met gezondheidsproblemen kunnen verblijven die (meer) zorg en medische begeleiding nodig hebben die ze thuis of in het verzorgingshuis niet (voldoende) kunnen krijgen;;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;VRI;Vrijstaande woning;Een vrijstaande woning is een eengezinswoning die los staat van (eventueel) aanwezige andere objecten. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;VZO;Verzorgingshuis;Een verzorgingshuis biedt uitgebreide zorg, ondersteuning en een beschutte woonomgeving, als u door ouderdom of ziekte niet meer zelfstandig kunt wonen, ook niet met hulp van naasten, mantelzorg of thuiszorg.;;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;WAT;Waterwoning;Een waterwoning is een woning voorzien van een draagconstructie met een groot drijfvermogen en verbonden met in de grond verankerde geleiders waardoor de woning afhankelijk van het waterniveau kan stijgen of dalen. (Voor marktwaarde bepaling: EGW-eengezinswoning);;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;WEL;Welzijnswerkruimte wijk-/buurtgericht;Ruimte voor op de buurt of wijk gerichte activiteiten op het gebied van welzijnswerk door stichtingen of verenigingen;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;WER;Centrum voor werk;Centrum voor werk(gelegenheid) en/of bevordering van bedrijvigheid in de wijk;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;WIJ;Wijksportvoorziening;;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;WIR;Winkelruimte;;;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;WOB;Woonboot;Een woonboot is een verblijfsobject dat bestemd is voor permanente danwel recreatieve bewoning en dat op of in het water is gelegen, met vaste ligplaats met walaansluiting en niet direct geschikt om als vervoermiddel te gebruiken.;;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;WOW;Woonwagen;Een woonwagen respectievelijk stacaravan is een voor permanente respectievelijk recreatieve bewoning bestemd verblijfsobject dat is geplaatst op een standplaats en in zijn geheel of in delen kan worden verplaatst, met uitzondering van wagens die een eigen aandrijving hebben en wagens waarvoor voor het voortbewegen ervan over een weg geen ontheffing ingevolge de Wegenverkeerswet en het Reglement verkeersregels en verkeerstekens is vereist.;;;EENHEIDSOORT.WOO;Vastgoed
EENHEIDDETAILSOORT;WWI;Woon-/Winkelpand;Een gebouw in de zin van art. 7:290 BW met een binnen de contouren van de buitenmuren van het gebouw een al dan niet zelfstandige woonruimte. De bedrijfsruimte heeft doorgaans een maximale verhuurbaar vloeroppervlakte (vvo) van circa 200 m2 en is bestemd voor of biedt de mogelijkheid tot detailhandel of een daaraan vergelijkbare bestemming (kantoor, atelier, showroom e.d.). Verder is wonen in een deel van het object toegestaan (veelal bewoond door de eigenaar of diens personeel). De bedrijfs- en woonruimte zijn aan de binnenzijde onderling bereikbaar.;;;EENHEIDSOORT.BED;Vastgoed
EENHEIDDETAILSOORT;WWP;Woonwagenstandplaats;Een standplaats is een formeel door de gemeente als zodanig aangewezen terrein of een gedeelte daarvan, dat bestemd is voor het permanent plaatsen van een niet direct en duurzaam met de aarde verbonden en voor woon, bedrijfsmatige of recreatieve doeleinden geschikte ruimte.Binnen de grenzen van een recreatieterrein kan ook sprake zijn van uitsluitend een aanwijzing van de recreatieve standplaats door de eigenaar van het terrein.;;;EENHEIDSOORT.OVE;Vastgoed
EENHEIDDETAILSOORT;WWR;Welzijnswerkruimte niet-wijk- of buurtgericht;Ruimten voor niet op de buurt of wijk gerichte activiteiten op het gebied van welzijnswerk door stichtingen of verenigingen;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSOORT;ZIE;Ziekenhuis;;;;EENHEIDSOORT.INT;Vastgoed
EENHEIDDETAILSOORT;ZST;Zorgsteunpunt;Zorgsteunpunten die inpandig in een woonzorggebouw zijn gevestigd;;;EENHEIDSOORT.MOG;Vastgoed
EENHEIDDETAILSTATUS;ANT;Verhuurd antikraak;De eenheid wordt verhuurd onder de voorwaarden van anti-kraak;;;EENHEIDSTATUS.VEH;Vastgoed
EENHEIDDETAILSTATUS;BOU;Bouwplannen;Eenheid is in ontwikkeling, nog in de planfase;;;EENHEIDSTATUS.ONT;Vastgoed
EENHEIDDETAILSTATUS;BRU;Bruikleen;De eenheid wordt verhuurd onder een bruikleen constructie;;;EENHEIDSTATUS.VEH;Vastgoed
EENHEIDDETAILSTATUS;EPA;Wacht op Energie Prestatie Advies;Frictieleegstand, ontstaan doordat er nog gewacht wordt op de afgifte van een EPA label;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;FRI;Frictieleegstand;VERVALLEN - Gebruik Eenheiddetailstatus NIH, NIB, EPA, MOH of STR.;;1-1-2022;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;MUT;Mutatie;Frictieleegstand wegens mutatieonderhoud. De eenheid is in exploitatie, maar niet verhuurd. Aansluitende verhuur is niet mogelijk omdat eerst nog onderhoud in de woning plaatsvindt.;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;NIB;Wacht op nieuwe huurder - niet-regulier;Frictieleegstand, ontstaan doordat er nog geen nieuwe huurder is gevonden, waarbij geldt dat er sprake is van een niet-regulier toewijzingsproces of een niet-reguliere beoogd huurder. Het betreft de leegstand vanaf het moment waarop de woning klaar is voor verhuur (nadat eventueel mutatieonderhoud is afgerond) totdat de overeenkomst met een nieuwe, niet-reguliere, huurder ingaat.;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;NIE;Nieuwbouw;Eenheid is in ontwikkeling, realisatie-/bouwfase is gestart;;;EENHEIDSTATUS.ONT;Vastgoed
EENHEIDDETAILSTATUS;NIH;Wacht op nieuwe huurder - regulier;Frictieleegstand, ontstaan doordat er nog geen nieuwe huurder is gevonden, zonder dat daar een speciale oorzaak voor is (het reguliere matching proces duurt langer dan gewenst). Het betreft de leegstand vanaf het moment waarop de woning klaar is voor verhuur (nadat eventueel mutatieonderhoud is afgerond) totdat de overeenkomst met een nieuwe huurder ingaat.;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;OND;Verkocht onder voorwaarden;VERVALLEN - Gebruik Uit exploitatiereden.;;30-6-2023;EENHEIDSTATUS.VEK;Vastgoed
EENHEIDDETAILSTATUS;OPL;Oplevering;Eenheid is in ontwikkeling, klaar voor oplevering;;;EENHEIDSTATUS.ONT;Vastgoed
EENHEIDDETAILSTATUS;PER;Verhuurd permanent;Doorlopend contract of voor onbepaalde tijd.;;;EENHEIDSTATUS.VEH;Vastgoed
EENHEIDDETAILSTATUS;PLA;Planmatig onderhoud;VERVALLEN - Gebruik Uit exploitatiereden.;;30-6-2023;EENHEIDSTATUS.OND;Vastgoed
EENHEIDDETAILSTATUS;PRO;Projectleegstand;Leegstand doordat de eenheid deel uitmaakt van een onderhouds- of renovatieproject, waarbij de eenheid niet uit exploitatie wordt genomen;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;REN;Renovatie;VERVALLEN - Gebruik Uit exploitatiereden.;;30-6-2023;EENHEIDSTATUS.OND;Vastgoed
EENHEIDDETAILSTATUS;SAN;Sanering;VERVALLEN - Gebruik Uit exploitatiereden.;;30-6-2023;EENHEIDSTATUS.OND;Vastgoed
EENHEIDDETAILSTATUS;SLO;Sloop;VERVALLEN - Gebruik Uit exploitatiereden.;;30-6-2023;EENHEIDSTATUS.OND;Vastgoed
EENHEIDDETAILSTATUS;STR;Structurele leegstand;(Verwachte) Langdurige frictieleegstand, doordat vraag en aanbod niet op elkaar aansluiten;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;TIJD;Verhuurd tijdelijk;Huurcontract met beperkte looptijd (anders dan anti-kraak of onder een bruikleen constructie);;;EENHEIDSTATUS.VEH;Vastgoed
EENHEIDDETAILSTATUS;VEK;Verkoop;Leegstand omdat de eenheid op korte termijn verkocht zal worden, maar nog wel in exploitatie is.;;;EENHEIDSTATUS.LEE;Vastgoed
EENHEIDDETAILSTATUS;VER;Vergunning verleend;Eenheid is in ontwikkeling, bouwvergunning is verleend;;;EENHEIDSTATUS.ONT;Vastgoed
EENHEIDENERGIEVOORZIENING;GLO;Gasloze eenheid;Kenmerk om aan te geven dat de eenheid géén gasaansluiting heeft;;;;Vastgoed
EENHEIDENERGIEVOORZIENING;NOM;Nul-op-de-meter eenheid;De eenheid voldoet aan de criteria voor nul-op-de-meter;;;;Vastgoed
EENHEIDENERGIEVOORZIENING;OPL;Oplaadpunt;Oplaadpunt voor auto;;;;Vastgoed
EENHEIDENERGIEVOORZIENING;OPS;Oplaadpunt scootmobiel;Oplaadpunt voor scootmobiel, als deze in of aan de woning is bevestigd. Een oplaadpunt kan ook als afzonderlijke eenheid worden geëxploiteerd, gebruik dan Eenheiddetailsoort Scootmobielplek;;;;Vastgoed
EENHEIDENERGIEVOORZIENING;ZON;Zonnepanelen;;;;;Vastgoed
EENHEIDINTERIEUR;GEM;Gemeubileerd;;;;;Vastgoed
EENHEIDINTERIEUR;GES;Gestoffeerd;;;;;Vastgoed
EENHEIDINTERIEUR;HOU;Houten vloer;;;;;Vastgoed
EENHEIDINTERIEUR;LAM;Laminaat;;;;;Vastgoed
EENHEIDINTERIEUR;PLA;Plavuizen;Plavuizen of tegels;;;;Vastgoed
EENHEIDINTERIEUR;VLB;Vloerbedekking;;;;;Vastgoed
EENHEIDINTERIEUR;ZEL;Zelf inrichten;;;;;Vastgoed
EENHEIDISOLATIE;DAK;Dakisolatie;;;;;Vastgoed
EENHEIDISOLATIE;DGL;Normaal dubbelglas;Dubbel glas waarbij de spouw tussen de glasplaten is gevuld met droge lucht.;;;;Vastgoed
EENHEIDISOLATIE;HR;HR-glas;Dit is dubbelglas met een isolatiecoating op de ramen. De spouw is ook gevuld met droge lucht.;;19-04-2024;;;Vastgoed
EENHEIDISOLATIE;HR1;HR+ glas;Dit is een verbeterde versie van HR-glas, met een dikkere coating en een smallere spouw.;;19-04-2024;;;Vastgoed
